Year,Date,Hour,Minute,Upstream,Downstream,Passage,Reviewer,Comments
2017,18-Jul,12:00:00,50,235,4,231,VTR,NA
2017,18-Jul,13:00:00,0,172,0,172,VTR,NA
2017,18-Jul,13:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,13:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,13:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,13:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,13:00:00,50,NA,NA,0,NA,NA
2017,18-Jul,14:00:00,0,204,1,203,JMK,NA
2017,18-Jul,14:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,14:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,14:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,14:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,14:00:00,50,NA,NA,NA,NO FILE,NA
2017,18-Jul,15:00:00,0,NA,NA,NA,NO FILE,NA
2017,18-Jul,15:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,15:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,15:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,15:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,15:00:00,50,NA,NA,0,NA,NA
2017,18-Jul,16:00:00,0,NA,NA,NA,NO FILE,NA
2017,18-Jul,16:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,16:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,16:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,16:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,16:00:00,50,165,1,164,VTR,NA
2017,18-Jul,17:00:00,0,214,0,214,VTR,NA
2017,18-Jul,17:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,17:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,17:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,17:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,17:00:00,50,NA,NA,0,NA,NA
2017,18-Jul,18:00:00,0,97,1,96,EPA,NA
2017,18-Jul,18:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,18:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,18:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,18:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,18:00:00,50,110,0,110,VTR,NA
2017,18-Jul,19:00:00,0,106,0,106,VTR,NA
2017,18-Jul,19:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,19:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,19:00:00,30,NA,NA,0,NA,NA
